start,end,token,position,line,text
36.52,36.72,が,-1,-1,<1></c><3>それが</c><2>団結できない要因か</c><1></c>
36.72,36.92,だ,-1,0,<1></c><3>それがだ</c><2>んけつできないよういんか</c><1></c>
36.72,37.087,団,-1,-1,<1></c><3>それが団</c><2>結できない要因か</c><1></c>
36.92,37.087,ん,-1,0,<1></c><3>それがだん</c><2>けつできないよういんか</c><1></c>
37.087,37.254,け,-1,0,<1></c><3>それがだんけ</c><2>つできないよういんか</c><1></c>
37.087,37.354,結,-1,-1,<1></c><3>それが団結</c><2>できない要因か</c><1></c>
37.254,37.354,つ,-1,0,<1></c><3>それがだんけつ</c><2>できないよういんか</c><1></c>
37.354,37.454,で,-1,0,<1></c><3>それがだんけつで</c><2>きないよういんか</c><1></c>
37.354,37.454,で,-1,-1,<1></c><3>それが団結で</c><2>きない要因か</c><1></c>
37.454,37.654,き,-1,0,<1></c><3>それがだんけつでき</c><2>ないよういんか</c><1></c>
37.454,37.654,き,-1,-1,<1></c><3>それが団結でき</c><2>ない要因か</c><1></c>
37.654,37.755,な,-1,0,<1></c><3>それがだんけつできな</c><2>いよういんか</c><1></c>
37.654,37.755,な,-1,-1,<1></c><3>それが団結できな</c><2>い要因か</c><1></c>
37.755,37.855,い,-1,0,<1></c><3>それがだんけつできない</c><2>よういんか</c><1></c>
37.755,37.855,い,-1,-1,<1></c><3>それが団結できない</c><2>要因か</c><1></c>
37.855,37.955,よ,-1,0,<1></c><3>それがだんけつできないよ</c><2>ういんか</c><1></c>
37.855,38.022,要,-1,-1,<1></c><3>それが団結できない要</c><2>因か</c><1></c>
37.955,38.022,う,-1,0,<1></c><3>それがだんけつできないよう</c><2>いんか</c><1></c>
38.022,38.122,い,-1,0,<1></c><3>それがだんけつできないようい</c><2>んか</c><1></c>
38.022,38.222,因,-1,-1,<1></c><3>それが団結できない要因</c><2>か</c><1></c>
38.122,38.222,ん,-1,0,<1></c><3>それがだんけつできないよういん</c><2>か</c><1></c>
38.222,38.322,か,-1,0,<1></c><3>それがだんけつできないよういんか</c><1></c>
38.222,38.322,か,-1,-1,<1></c><3>それが団結できない要因か</c><1></c>
38.322,38.422,あ,-1,0,<1></c><3>あ</c><2>んたふくめせんいんはごにんだ</c><1></c>
38.322,38.422,あ,-1,-1,<1></c><3>あ</c><2>んた含め船員は5人だ</c><1></c>
38.422,38.589,ん,-1,0,<1></c><3>あん</c><2>たふくめせんいんはごにんだ</c><1></c>
38.422,38.589,ん,-1,-1,<1></c><3>あん</c><2>た含め船員は5人だ</c><1></c>
38.589,38.689,た,-1,0,<1></c><3>あんた</c><2>ふくめせんいんはごにんだ</c><1></c>
38.589,38.689,た,-1,-1,<1></c><3>あんた</c><2>含め船員は5人だ</c><1></c>
38.689,38.789,ふ,-1,0,<1></c><3>あんたふ</c><2>くめせんいんはごにんだ</c><1></c>
38.689,38.856,含,-1,-1,<1></c><3>あんた含</c><2>め船員は5人だ</c><1></c>
38.789,38.856,く,-1,0,<1></c><3>あんたふく</c><2>めせんいんはごにんだ</c><1></c>
38.856,38.989,め,-1,0,<1></c><3>あんたふくめ</c><2>せんいんはごにんだ</c><1></c>
38.856,38.989,め,-1,-1,<1></c><3>あんた含め</c><2>船員は5人だ</c><1></c>
38.989,39.156,せん,-1,0,<1></c><3>あんたふくめせん</c><2>いんはごにんだ</c><1></c>
38.989,39.156,船,-1,-1,<1></c><3>あんた含め船</c><2>員は5人だ</c><1></c>
39.156,39.256,いん,-1,0,<1></c><3>あんたふくめせんいん</c><2>はごにんだ</c><1></c>
39.156,39.256,員,-1,-1,<1></c><3>あんた含め船員</c><2>は5人だ</c><1></c>
39.256,39.356,は,-1,0,<1></c><3>あんたふくめせんいんは</c><2>ごにんだ</c><1></c>
39.256,39.356,は,-1,-1,<1></c><3>あんた含め船員は</c><2>5人だ</c><1></c>
39.356,39.523,ご,-1,0,<1></c><3>あんたふくめせんいんはご</c><2>にんだ</c><1></c>
39.356,39.523,5,-1,-1,<1></c><3>あんた含め船員は5</c><2>人だ</c><1></c>
39.523,39.723,にん,-1,0,<1></c><3>あんたふくめせんいんはごにん</c><2>だ</c><1></c>
39.523,39.723,人,-1,-1,<1></c><3>あんた含め船員は5人</c><2>だ</c><1></c>
39.723,40.09,だ,-1,0,<1></c><3>あんたふくめせんいんはごにんだ</c><1></c>
39.723,40.09,だ,-1,-1,<1></c><3>あんた含め船員は5人だ</c><1></c>
40.09,40.19,こ,-1,0,<1></c><3>こ</c><2>うほはこれでぜんいんか</c><1></c>
40.09,40.29,候,-1,-1,<1></c><3>候</c><2>補はこれで全員か</c><1></c>
40.19,40.29,う,-1,0,<1></c><3>こう</c><2>ほはこれでぜんいんか</c><1></c>
40.29,40.357,ほ,-1,0,<1></c><3>こうほ</c><2>はこれでぜんいんか</c><1></c>
40.29,40.357,補,-1,-1,<1></c><3>候補</c><2>はこれで全員か</c><1></c>
40.357,40.457,は,-1,0,<1></c><3>こうほは</c><2>これでぜんいんか</c><1></c>
40.357,40.457,は,-1,-1,<1></c><3>候補は</c><2>これで全員か</c><1></c>
40.457,40.657,こ,-1,0,<1></c><3>こうほはこ</c><2>れでぜんいんか</c><1></c>
40.457,40.657,こ,-1,-1,<1></c><3>候補はこ</c><2>れで全員か</c><1></c>
40.657,40.758,れ,-1,0,<1></c><3>こうほはこれ</c><2>でぜんいんか</c><1></c>
40.657,40.758,れ,-1,-1,<1></c><3>候補はこれ</c><2>で全員か</c><1></c>
40.758,40.858,で,-1,0,<1></c><3>こうほはこれで</c><2>ぜんいんか</c><1></c>
40.758,40.858,で,-1,-1,<1></c><3>候補はこれで</c><2>全員か</c><1></c>
40.858,41.058,ぜん,-1,0,<1></c><3>こうほはこれでぜん</c><2>いんか</c><1></c>
40.858,41.058,全,-1,-1,<1></c><3>候補はこれで全</c><2>員か</c><1></c>
41.058,41.225,いん,-1,0,<1></c><3>こうほはこれでぜんいん</c><2>か</c><1></c>
41.058,41.225,員,-1,-1,<1></c><3>候補はこれで全員</c><2>か</c><1></c>
41.225,41.592,か,-1,0,<1></c><3>こうほはこれでぜんいんか</c><1></c>
41.225,41.592,か,-1,-1,<1></c><3>候補はこれで全員か</c><1></c>
41.592,41.792,さん,-1,0,<1></c><3>さん</c><2>にんふよう、でいいか？</c><1></c>
41.592,41.792,3,-1,-1,<1></c><3>3</c><2>人不要、でいいか？</c><1></c>
41.792,41.959,にん,-1,0,<1></c><3>さんにん</c><2>ふよう、でいいか？</c><1></c>
41.792,41.959,人,-1,-1,<1></c><3>3人</c><2>不要、でいいか？</c><1></c>
41.959,42.159,ふ,-1,0,<1></c><3>さんにんふ</c><2>よう、でいいか？</c><1></c>
41.959,42.159,不,-1,-1,<1></c><3>3人不</c><2>要、でいいか？</c><1></c>
42.159,42.359,よう、,-1,0,<1></c><3>さんにんふよう、</c><2>でいいか？</c><1></c>
42.159,42.359,要、,-1,-1,<1></c><3>3人不要、</c><2>でいいか？</c><1></c>
42.359,42.526,で,-1,0,<1></c><3>さんにんふよう、で</c><2>いいか？</c><1></c>
42.359,42.526,で,-1,-1,<1></c><3>3人不要、で</c><2>いいか？</c><1></c>
42.526,42.726,いい,-1,0,<1></c><3>さんにんふよう、でいい</c><2>か？</c><1></c>
