Character,File Numbers
違,"{3, 12, 17, 19, 22, 38, 39, 44, 57, 58, 64, 65, 75, 87, 90}"
視,"{3, 19, 27, 69, 74, 78}"
送,"{3, 9, 26, 28, 33, 42, 52, 55, 92}"
振,"{3, 5, 11, 25, 33, 35, 36, 37, 42, 51, 54, 56, 60, 61, 67, 73, 75, 79}"
向,"{3, 7, 11, 40, 43, 45, 47, 52, 53, 56, 59, 73, 79}"
性,"{3, 19, 38, 49, 59}"
格,"{3, 38, 57, 90}"
期,"{3, 14, 18, 23, 29, 36, 38, 56, 67}"
待,"{3, 18, 20, 21, 23, 29, 31, 34, 35, 36, 39, 42, 48, 49, 50, 53, 54, 57, 58, 61, 64, 67, 70, 74, 77, 80, 85, 86, 90, 92}"
素,"{3, 6, 14, 25, 32, 42, 45, 46, 57, 59, 77, 86, 90}"
敵,"{3, 32, 42, 45, 46, 77}"
信,"{3, 4, 6, 8, 18, 19, 25, 28, 31, 33, 38, 39, 41, 45, 46, 49, 58, 61, 64, 79, 88}"
本,"{3, 4, 9, 12, 18, 21, 37, 41, 46, 54, 57, 59, 65, 72, 73, 79, 81, 82, 87, 90}"
音,"{3, 14, 18, 25, 31, 35, 36, 38, 39, 40, 41, 47, 51, 55, 58, 60, 62, 64, 67, 68, 69, 70, 72, 76, 81, 82, 83, 87, 90, 91, 92}"
近,"{3, 25, 32, 35, 49, 50, 71, 82}"
勇,"{3, 12, 14, 20, 38, 62, 73, 75}"
答,"{3, 26, 87, 91}"
会,"{3, 4, 5, 9, 10, 11, 12, 28, 32, 38, 40, 41, 46, 48, 49, 50, 52, 54, 56, 57, 61, 62, 73, 76, 88, 89, 90}"
一,"{3, 4, 6, 7, 8, 10, 11, 13, 17, 21, 23, 25, 26, 27, 33, 34, 35, 36, 38, 41, 43, 47, 50, 51, 53, 54, 56, 57, 59, 63, 65, 68, 69, 74, 76, 80, 82, 85, 88, 90}"
瞬,"{3, 17, 22, 25, 41, 48, 78, 81}"
糸,"{3, 12, 39, 58, 64}"
繰,"{3, 7, 15, 26, 43, 47, 91}"
寄,"{3, 41, 44, 49, 53}"
運,"{3, 12, 27, 39, 58, 64, 69, 81, 83}"
崎,"{3, 31}"
酒,"{3, 23, 57, 79, 82, 83, 90}"
拓,"{3, 23, 79, 82, 83}"
也,"{3, 6, 23, 69, 79, 82, 83}"
好,"{3, 5, 9, 11, 13, 21, 28, 33, 36, 37, 41, 42, 49, 50, 51, 54, 56, 59, 60, 62, 67, 68, 73, 79}"
未,"{4, 17, 23, 24, 33, 38, 40, 41, 42, 45, 46, 48, 49, 53, 65, 68, 75, 81, 82, 87, 89, 91, 92}"
準,"{4, 7, 19, 50}"
備,"{4, 7, 50}"
歩,"{4, 5, 6, 7, 11, 13, 17, 22, 33, 35, 41, 45, 47, 52, 63, 77, 82}"
踏,"{4, 7, 22, 23, 34, 43, 45, 47, 53, 54, 63, 68, 82}"
角,"{4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 42, 43, 44, 45, 52}"
堀,"{4, 6}"
江,"{4, 6}"
晶,"{4, 6, 31}"
太,"{4, 5, 6, 11, 32, 35, 61, 71, 75}"
山,"{4, 5, 51}"
央,"{4, 40, 73}"
樹,"{4, 8}"
室,{4}
屋,"{4, 8, 12, 31, 48, 50, 56, 70, 72}"
光,"{4, 6, 11, 17, 22, 24, 26, 33, 40, 45, 47, 48, 55, 59, 63, 81, 87, 88, 89}"
郎,{4}
宮,"{4, 65}"
野,"{4, 62, 69, 75, 92}"
幸,"{4, 18, 29, 33, 35, 39, 41, 55, 58, 59, 60, 63, 64, 76, 89}"
宿,"{4, 81}"
覚,"{4, 11, 26, 39, 43, 52, 56, 57, 58, 64, 67, 68, 74, 78, 81, 89, 90}"
険,"{4, 7}"
取,"{4, 6, 8, 35, 44, 57, 60, 62, 68, 89, 90, 91}"
弱,"{4, 45, 56, 74}"
喪,{4}
失,"{4, 16, 26, 40, 45}"
間,"{4, 6, 12, 14, 17, 19, 22, 32, 33, 35, 39, 42, 47, 48, 50, 51, 56, 57, 58, 64, 68, 72, 77, 81, 86, 90, 92}"
