start,end,position,line,text,unformatted
32.85,33.017,-1,-1,<2></c><1>また安地</c><3>でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
32.85,33.017,-1,0,<2></c><1>またあんち</c><3>でつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.017,33.15,-1,-1,<2></c><1>また安地で</c><3>つぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
33.017,33.15,-1,0,<2></c><1>またあんちで</c><3>つぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.15,33.35,-1,-1,<2></c><1>また安地でつ</c><3>ぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
33.15,33.35,-1,0,<2></c><1>またあんちでつ</c><3>ぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.35,33.517,-1,-1,<2></c><1>また安地でつぶ</c><3>やく僻み達</c><2></c>,また安地でつぶやく僻み達
33.35,33.517,-1,0,<2></c><1>またあんちでつぶ</c><3>やくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.517,33.684,-1,-1,<2></c><1>また安地でつぶや</c><3>く僻み達</c><2></c>,また安地でつぶやく僻み達
33.517,33.684,-1,0,<2></c><1>またあんちでつぶや</c><3>くひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.684,33.851,-1,-1,<2></c><1>また安地でつぶやく</c><3>僻み達</c><2></c>,また安地でつぶやく僻み達
33.684,33.851,-1,0,<2></c><1>またあんちでつぶやく</c><3>ひがみたち</c><2></c>,またあんちでつぶやくひがみたち
33.851,34.051,-1,-1,<2></c><1>また安地でつぶやく僻</c><3>み達</c><2></c>,また安地でつぶやく僻み達
33.851,34.051,-1,0,<2></c><1>またあんちでつぶやくひ</c><3>がみたち</c><2></c>,またあんちでつぶやくひがみたち
34.051,34.184,-1,-1,<2></c><1>また安地でつぶやく僻</c><3>み達</c><2></c>,また安地でつぶやく僻み達
34.051,34.184,-1,0,<2></c><1>またあんちでつぶやくひが</c><3>みたち</c><2></c>,またあんちでつぶやくひがみたち
34.184,34.385,-1,-1,<2></c><1>また安地でつぶやく僻み</c><3>達</c><2></c>,また安地でつぶやく僻み達
34.184,34.385,-1,0,<2></c><1>またあんちでつぶやくひがみ</c><3>たち</c><2></c>,またあんちでつぶやくひがみたち
34.385,34.885,-1,-1,<2></c><1>また安地でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
34.385,34.551,-1,0,<2></c><1>またあんちでつぶやくひがみた</c><3>ち</c><2></c>,またあんちでつぶやくひがみたち
34.551,34.885,-1,0,<2></c><1>またあんちでつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
34.885,35.052,-1,-1,<2></c><1>そ</c><3>りゃ勝っても負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
34.885,35.052,-1,0,<2></c><1>そ</c><3>りゃかってもまけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.052,35.219,-1,-1,<2></c><1>そりゃ</c><3>勝っても負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.052,35.219,-1,0,<2></c><1>そりゃ</c><3>かってもまけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.219,35.386,-1,-1,<2></c><1>そりゃ勝</c><3>っても負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.219,35.386,-1,0,<2></c><1>そりゃか</c><3>ってもまけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.386,35.552,-1,-1,<2></c><1>そりゃ勝っ</c><3>ても負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.386,35.552,-1,0,<2></c><1>そりゃかっ</c><3>てもまけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.552,35.753,-1,-1,<2></c><1>そりゃ勝って</c><3>も負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.552,35.753,-1,0,<2></c><1>そりゃかって</c><3>もまけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.753,35.919,-1,-1,<2></c><1>そりゃ勝っても</c><3>負けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.753,35.919,-1,0,<2></c><1>そりゃかっても</c><3>まけてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
35.919,36.086,-1,-1,<2></c><1>そりゃ勝っても負</c><3>けても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
35.919,36.086,-1,0,<2></c><1>そりゃかってもま</c><3>けてもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
36.086,36.22,-1,-1,<2></c><1>そりゃ勝っても負け</c><3>ても痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
36.086,36.22,-1,0,<2></c><1>そりゃかってもまけ</c><3>てもいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
36.22,36.42,-1,-1,<2></c><1>そりゃ勝っても負けて</c><3>も痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
36.22,36.42,-1,0,<2></c><1>そりゃかってもまけて</c><3>もいたみなし</c><2></c>,そりゃかってもまけてもいたみなし
36.42,36.587,-1,-1,<2></c><1>そりゃ勝っても負けても</c><3>痛み無し</c><2></c>,そりゃ勝っても負けても痛み無し
36.42,36.587,-1,0,<2></c><1>そりゃかってもまけても</c><3>いたみなし</c><2></c>,そりゃかってもまけてもいたみなし
